Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YearlyAverage,MinimumMonthly,MaximumMonthly,Range
1986,183.70,183.63,183.61,183.68,183.74,183.76,183.81,183.84,183.81,183.79,183.75,183.67,183.73,183.61,183.84,0.23
1987,183.58,183.50,183.44,183.41,183.42,183.46,183.50,183.55,183.53,183.46,183.40,183.37,183.47,183.37,183.58,0.21
1988,183.29,183.22,183.17,183.20,183.24,183.26,183.27,183.39,183.44,183.41,183.46,183.46,183.32,183.17,183.46,0.29
1989,183.41,183.33,183.28,183.31,183.39,183.50,183.53,183.52,183.50,183.41,183.38,183.27,183.40,183.27,183.53,0.26
1990,183.19,183.13,183.09,183.08,183.18,183.25,183.35,183.36,183.38,183.39,183.38,183.31,183.26,183.08,183.39,0.31
1991,183.23,183.16,183.14,183.22,183.32,183.37,183.46,183.46,183.44,183.43,183.46,183.45,183.34,183.14,183.46,0.32
1992,183.37,183.30,183.25,183.22,183.32,183.36,183.45,183.47,183.52,183.54,183.50,183.47,183.40,183.22,183.54,0.32
1993,183.41,183.32,183.24,183.24,183.38,183.48,183.56,183.62,183.62,183.58,183.52,183.46,183.45,183.24,183.62,0.38
1994,183.39,183.32,183.28,183.30,183.40,183.46,183.53,183.56,183.59,183.56,183.50,183.42,183.44,183.28,183.59,0.31
1995,183.33,183.24,183.19,183.20,183.26,183.31,183.37,183.40,183.44,183.49,183.48,183.41,183.34,183.19,183.49,0.30
1996,183.34,183.32,183.30,183.31,183.46,183.60,183.70,183.78,183.78,183.71,183.67,183.63,183.55,183.30,183.78,0.48
1997,183.59,183.54,183.51,183.55,183.64,183.65,183.72,183.68,183.64,183.61,183.56,183.48,183.60,183.48,183.72,0.24
1998,183.40,183.34,183.29,183.35,183.34,183.39,183.41,183.38,183.33,183.26,183.21,183.19,183.32,183.19,183.41,0.22
1999,183.12,183.10,183.06,183.11,183.20,183.31,183.43,183.47,183.44,183.38,183.32,183.24,183.27,183.06,183.47,0.41
2000,183.16,183.08,183.08,183.12,183.16,183.24,183.33,183.31,183.27,183.20,183.15,183.06,183.18,183.06,183.33,0.27
2001,182.98,182.94,182.91,183.01,183.24,183.33,183.36,183.39,183.37,183.30,183.29,183.30,183.20,182.91,183.39,0.48
2002,183.22,183.14,183.11,183.14,183.26,183.31,183.36,183.40,183.42,183.44,183.36,183.26,183.29,183.11,183.44,0.33
2003,183.16,183.07,183.03,183.08,183.18,183.23,183.26,183.29,183.27,183.26,183.23,183.19,183.19,183.03,183.29,0.26
2004,183.14,183.07,183.07,183.13,183.23,183.35,183.40,183.42,183.46,183.47,183.46,183.38,183.30,183.07,183.47,0.40
2005,183.32,183.27,183.22,183.26,183.31,183.39,183.42,183.38,183.35,183.38,183.35,183.30,183.33,183.22,183.42,0.20
2006,183.24,183.18,183.12,183.16,183.24,183.30,183.31,183.30,183.20,183.13,183.04,182.98,183.18,182.98,183.31,0.33
